path,team_bucket,ext,size_bytes,mtime_utc,wp_tokens,flags,suggested_tier,archive_action,archive_reason
_SIMULATION_ARCHIVE/S003-P013-WP002/README.md,_SIMULATION_ARCHIVE,.md,500,2026-03-23T19:11:26Z,,deep_review_dir,ROUND2_DEEP_REVIEW,ARCHIVE_ROUND2,deep_review_subtree
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/00_MASTER_INDEX.md,_architect_inbox,.md,649,2026-02-23T21:45:55Z,,arch_inbox,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/ARCHITECT_BROKER_REFERENCE_AND_OTHER_LOGIC.md,_architect_inbox,.md,580,2026-02-23T21:45:55Z,,arch_inbox,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/ARCHITECT_DATA_MANAGEMENT_SOP_011.md,_architect_inbox,.md,274,2026-02-23T21:45:55Z,,arch_inbox|name_like_process_spec,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/ARCHITECT_MARKET_DATA_STRATEGY_ANALYSIS.md,_architect_inbox,.md,866,2026-02-23T21:45:55Z,,arch_inbox,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/ARCHITECT_PHASE_2_GAP_ANALYSIS_REPORT.md,_architect_inbox,.md,512,2026-02-23T21:45:55Z,,arch_inbox,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/ARCHITECT_RICH_TEXT_AND_DESIGN_SYSTEM_SPEC.md,_architect_inbox,.md,908,2026-02-23T21:45:55Z,,arch_inbox,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/ARCHITECT_RICH_TEXT_AND_SANITIZATION_POLICY.md,_architect_inbox,.md,265,2026-02-23T21:45:55Z,,arch_inbox,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/ARCHITECT_RICH_TEXT_AND_SANITIZATION_SPEC.md,_architect_inbox,.md,515,2026-02-23T21:45:55Z,,arch_inbox,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/BATCH_2_5_COMPLETIONS_MANDATE.md,_architect_inbox,.md,890,2026-02-23T21:45:55Z,,arch_inbox|name_like_process_spec,EXEMPT_CAT3_NO_ARCHIVE,KEEP,exempt_cat3_or_secondary
